EnvSteps,Episodes,Iters,TimeThisIter,TimeTotal,Tie,WinO,EpisodeReturnMean,WinX,EpisodeLengthMean
4000,599,1,14.1444,14.1444,0.1229,0.318,-0.1097,0.5591,6.6711
8000,1244,2,12.4753,26.6197,0.1223,0.3185,-0.1048,0.5593,6.38
12000,1911,3,14.975,41.5948,0.1215,0.3193,-0.0867,0.5592,6.083
16000,2616,4,16.3459,57.9406,0.1206,0.3191,-0.0714,0.5604,5.8
20000,3331,5,16.1632,74.1038,0.12,0.3182,-0.0733,0.5618,5.613
24000,4046,6,16.7671,90.871,0.1193,0.3181,-0.0819,0.5626,5.601
28000,4740,7,16.3917,107.2627,0.1199,0.3167,-0.1229,0.5634,5.715
32000,5410,8,16.32,123.5827,0.1214,0.3166,-0.1772,0.5621,5.887
36000,6048,9,16.8664,140.4491,0.1245,0.3151,-0.2467,0.5604,6.167
40000,6664,10,16.6838,157.1329,0.129,0.313,-0.3143,0.558,6.409
44000,7261,11,16.4823,173.6152,0.1357,0.3102,-0.4029,0.5541,6.601
48000,7821,12,16.463,190.0782,0.1456,0.3064,-0.5334,0.548,6.965
52000,8366,13,16.3139,206.3921,0.157,0.3018,-0.6467,0.5412,7.28
56000,8905,14,16.41,222.8021,0.1679,0.2976,-0.6715,0.5346,7.374
60000,9443,15,16.1733,238.9753,0.1792,0.293,-0.701,0.5279,7.453
64000,9975,16,15.9894,254.9647,0.1913,0.2879,-0.7363,0.5208,7.471
68000,10501,17,16.0229,270.9876,0.204,0.2834,-0.7706,0.5126,7.557
72000,11026,18,15.7192,286.7068,0.2164,0.2793,-0.7858,0.5043,7.616
76000,11542,19,15.4114,302.1182,0.2292,0.2748,-0.8087,0.496,7.698
80000,12057,20,15.2928,317.411,0.2419,0.2701,-0.8325,0.488,7.755
84000,12572,21,14.9811,332.3921,0.2551,0.2655,-0.8487,0.4794,7.768
88000,13088,22,15.2101,347.6022,0.2678,0.261,-0.8487,0.4712,7.754
92000,13605,23,15.511,363.1131,0.2798,0.2568,-0.8391,0.4634,7.745
96000,14117,24,15.8504,378.9635,0.2924,0.2524,-0.8544,0.4551,7.772
100000,14628,25,15.762,394.7256,0.3048,0.2483,-0.8772,0.4469,7.819
104000,15137,26,16.1861,410.9117,0.3172,0.2438,-0.8791,0.4389,7.835
108000,15650,27,16.3569,427.2686,0.3292,0.2393,-0.8782,0.4315,7.836
112000,16168,28,16.254,443.5226,0.3404,0.2354,-0.8572,0.4242,7.765
116000,16683,29,16.1433,459.6659,0.3512,0.2319,-0.8468,0.417,7.75
120000,17202,30,16.5115,476.1774,0.3609,0.2284,-0.8325,0.4106,7.738
124000,17717,31,16.2052,492.3826,0.372,0.2246,-0.841,0.4035,7.741
128000,18236,32,16.1489,508.5316,0.3829,0.2205,-0.8563,0.3966,7.739
132000,18757,33,15.9763,524.5079,0.3928,0.2171,-0.8401,0.39,7.684
136000,19276,34,15.8973,540.4052,0.4026,0.2142,-0.8325,0.3832,7.678
140000,19789,35,15.3231,555.7283,0.4127,0.2104,-0.8582,0.3769,7.754
144000,20304,36,15.1547,570.8831,0.4224,0.2068,-0.861,0.3708,7.783
148000,20819,37,15.3115,586.1945,0.4318,0.2035,-0.8515,0.3648,7.763
