EnvSteps,Episodes,Iters,TimeThisIter,TimeTotal,WinX,EpisodeLengthMean,EpisodeReturnMean,WinO,Tie
4000,608,1,14.6978,14.6978,0.5922,6.5625,-0.065,0.2933,0.1145
8000,1250,2,15.2018,29.8996,0.5911,6.321,-0.0673,0.2938,0.1151
12000,1899,3,15.3533,45.2529,0.5905,6.195,-0.0662,0.2943,0.1153
16000,2557,4,15.6342,60.8871,0.5892,6.075,-0.0651,0.2951,0.1157
20000,3248,5,15.9176,76.8047,0.5887,5.889,-0.0625,0.2957,0.1156
24000,3952,6,16.1295,92.9342,0.5887,5.719,-0.0625,0.2959,0.1154
28000,4645,7,16.2256,109.1598,0.5894,5.722,-0.0635,0.2953,0.1153
32000,5330,8,16.4969,125.6567,0.5885,5.807,-0.0774,0.2948,0.1167
36000,6008,9,16.6074,142.2641,0.5869,5.893,-0.0982,0.295,0.1182
40000,6682,10,16.6667,158.9307,0.5859,5.95,-0.1046,0.295,0.1191
44000,7339,11,16.7754,175.7061,0.5844,5.999,-0.1148,0.2942,0.1214
48000,7983,12,16.5712,192.2773,0.5821,6.152,-0.1463,0.293,0.125
52000,8605,13,16.5882,208.8654,0.5789,6.344,-0.1826,0.2913,0.1299
56000,9207,14,16.748,225.6135,0.5751,6.554,-0.2248,0.2889,0.136
60000,9795,15,16.5443,242.1578,0.5703,6.739,-0.2584,0.2863,0.1433
64000,10382,16,16.5866,258.7444,0.5656,6.797,-0.2664,0.2843,0.1501
68000,10952,17,16.3387,275.083,0.5601,6.939,-0.2937,0.2813,0.1586
72000,11508,18,16.7879,291.8709,0.5535,7.117,-0.3342,0.2782,0.1683
76000,12059,19,16.1843,308.0552,0.5468,7.226,-0.3551,0.2748,0.1783
80000,12599,20,16.0603,324.1156,0.5395,7.314,-0.3754,0.2714,0.1892
84000,13140,21,15.5801,339.6956,0.5317,7.398,-0.3887,0.2683,0.2001
88000,13679,22,15.0672,354.7628,0.5239,7.416,-0.3914,0.2651,0.211
92000,14209,23,15.2329,369.9957,0.5163,7.493,-0.4101,0.2616,0.2222
96000,14740,24,15.2771,385.2728,0.5087,7.522,-0.4202,0.2577,0.2335
100000,15271,25,15.3153,400.5882,0.5014,7.536,-0.425,0.254,0.2445
104000,15793,26,15.276,415.8642,0.4934,7.593,-0.4416,0.25,0.2566
108000,16317,27,15.9204,431.7846,0.4854,7.643,-0.4533,0.2461,0.2685
112000,16840,28,15.5572,447.3418,0.4774,7.647,-0.4538,0.2426,0.28
116000,17362,29,16.1473,463.4891,0.4698,7.652,-0.456,0.239,0.2913
120000,17879,30,16.1332,479.6223,0.4616,7.697,-0.4576,0.2357,0.3027
124000,18398,31,16.087,495.7093,0.4542,7.732,-0.4613,0.2321,0.3137
128000,18917,32,16.1077,511.817,0.4466,7.706,-0.4613,0.229,0.3244
132000,19443,33,16.3414,528.1584,0.4399,7.657,-0.4533,0.2256,0.3346
136000,19964,34,16.304,544.4623,0.4332,7.648,-0.4512,0.2223,0.3445
140000,20489,35,16.7275,561.1899,0.4266,7.646,-0.449,0.2199,0.3535
144000,21011,36,16.6029,577.7927,0.4195,7.637,-0.4517,0.2167,0.3638
148000,21528,37,16.7797,594.5724,0.4125,7.702,-0.4651,0.2135,0.374
152000,22044,38,16.6633,611.2357,0.4056,7.741,-0.4731,0.2104,0.384
156000,22564,39,16.9766,628.2124,0.3987,7.722,-0.4704,0.2075,0.3938
160000,23086,40,16.451,644.6634,0.3925,7.681,-0.4634,0.2044,0.403
164000,23604,41,16.169,660.8324,0.3859,7.691,-0.4629,0.2018,0.4122
168000,24126,42,16.024,676.8564,0.3795,7.689,-0.4634,0.199,0.4214
172000,24648,43,15.8977,692.7541,0.3735,7.673,-0.4629,0.1962,0.4303
176000,25169,44,15.705,708.459,0.3673,7.67,-0.4592,0.1942,0.4385
180000,25697,45,15.5235,723.9825,0.3627,7.638,-0.4474,0.1912,0.4461
184000,26242,46,15.6747,739.6572,0.3591,7.439,-0.3999,0.1891,0.4517
188000,26780,47,15.392,755.0493,0.3545,7.376,-0.393,0.1873,0.4582
192000,27312,48,15.7921,770.8414,0.3499,7.486,-0.4181,0.1853,0.4648
196000,27839,49,15.886,786.7273,0.345,7.555,-0.4325,0.1832,0.4718
200000,28362,50,15.9466,802.674,0.3403,7.616,-0.4474,0.1803,0.4793
204000,28878,51,16.6252,819.2992,0.3353,7.69,-0.4613,0.1775,0.4872
208000,29395,52,16.2025,835.5017,0.3304,7.745,-0.472,0.1747,0.4949
212000,29907,53,16.9032,852.4049,0.3252,7.779,-0.4795,0.172,0.5028
216000,30419,54,16.5653,868.9703,0.3197,7.807,-0.4848,0.1693,0.511
220000,30932,55,16.5919,885.5621,0.314,7.813,-0.4864,0.1671,0.5189
224000,31448,56,16.49,902.0521,0.309,7.782,-0.4843,0.1646,0.5263
