EnvSteps,Episodes,Iters,TimeThisIter,TimeTotal,Tie,EpisodeLengthMean,WinX,WinO,EpisodeReturnMean
4000,608,1,13.0002,13.0002,0.1254,6.5757,0.5897,0.2849,-0.1651
8000,1241,2,13.8868,26.887,0.1244,6.413,0.5893,0.2863,-0.1334
12000,1904,3,15.9708,42.8578,0.1231,6.159,0.5885,0.2883,-0.0903
16000,2614,4,16.2919,59.1497,0.1216,5.752,0.5886,0.2898,-0.0774
20000,3331,5,15.7448,74.8945,0.1203,5.578,0.5895,0.2902,-0.0903
24000,4043,6,16.0336,90.9281,0.1202,5.588,0.5897,0.2901,-0.1162
28000,4750,7,15.7917,106.7198,0.1196,5.634,0.5915,0.2889,-0.1491
32000,5451,8,16.1685,122.8883,0.1199,5.714,0.5915,0.2886,-0.1793
36000,6130,9,15.8947,138.783,0.1203,5.836,0.5923,0.2874,-0.2022
40000,6796,10,16.1722,154.9551,0.1218,5.985,0.5929,0.2853,-0.2639
44000,7445,11,16.4009,171.356,0.1242,6.09,0.5927,0.2831,-0.3327
48000,8086,12,16.3809,187.7369,0.1277,6.19,0.5919,0.2805,-0.38
52000,8705,13,16.6012,204.338,0.132,6.395,0.5903,0.2777,-0.4632
56000,9312,14,16.3724,220.7105,0.1373,6.556,0.5888,0.2739,-0.5263
60000,9911,15,16.3846,237.095,0.143,6.648,0.5859,0.271,-0.598
64000,10488,16,16.5851,253.6801,0.1504,6.804,0.582,0.2676,-0.674
68000,11064,17,16.5901,270.2702,0.1578,6.965,0.5779,0.2643,-0.7428
72000,11621,18,16.4662,286.7364,0.1666,7.095,0.5723,0.2611,-0.8174
76000,12167,19,16.5043,303.2407,0.1767,7.257,0.5657,0.2576,-0.925
80000,12711,20,16.5108,319.7515,0.1873,7.365,0.5592,0.2535,-0.9866
84000,13248,21,16.2491,336.0006,0.1986,7.419,0.5515,0.2498,-1.0297
88000,13791,22,16.5388,352.5393,0.2087,7.414,0.5447,0.2466,-1.0483
92000,14317,23,16.3072,368.8465,0.2201,7.498,0.5368,0.2431,-1.0755
96000,14845,24,16.3863,385.2328,0.2309,7.593,0.5293,0.2398,-1.11
100000,15380,25,16.2901,401.523,0.2413,7.512,0.5217,0.2369,-1.0856
104000,15917,26,16.4953,418.0183,0.2509,7.473,0.5149,0.2342,-1.0698
108000,16447,27,16.2376,434.2558,0.2619,7.509,0.5069,0.2312,-1.0971
112000,16970,28,16.4822,450.738,0.2727,7.606,0.4987,0.2285,-1.1659
116000,17498,29,15.9995,466.7376,0.2828,7.599,0.4919,0.2253,-1.1386
120000,18022,30,15.8381,482.5756,0.2933,7.603,0.4851,0.2216,-1.1386
124000,18547,31,15.2968,497.8725,0.3038,7.63,0.4781,0.2181,-1.1716
128000,19072,32,15.684,513.5565,0.3139,7.61,0.4708,0.2153,-1.1688
