EnvSteps,Iters,TimeThisIter,TimeTotal,EpisodeReturnMean,WinX,EpisodeLengthMean,Tie,WinO,ReturnO,ReturnX
4000.0,1,44.9266,44.9266,-0.0017,0.5651,6.576,0.1101,0.3248,-0.6057,0.604
8000.0,2,45.2943,90.2209,-0.0016,0.5433,6.404,0.1178,0.3389,-0.5828,0.5812
12000.0,3,45.4727,135.6937,-0.0011,0.5918,6.054,0.0704,0.3378,-0.5934,0.5922
16000.0,4,45.3761,181.0697,-0.0009,0.606,5.726,0.0723,0.3217,-0.6146,0.6137
20000.0,5,45.2823,226.352,-0.0006,0.6356,5.448,0.0419,0.3225,-0.6382,0.6376
24000.0,6,45.4815,271.8335,-0.0005,0.6621,5.242,0.0367,0.3012,-0.6439,0.6434
28000.0,7,43.6989,315.5325,-0.0006,0.6874,5.174,0.0333,0.2792,-0.6988,0.6982
32000.0,8,46.4173,361.9498,-0.0008,0.665,5.422,0.0518,0.2832,-0.6468,0.646
36000.0,9,48.8966,410.8465,-0.0014,0.5628,5.644,0.0921,0.3451,-0.5468,0.5454
40000.0,10,48.9545,459.801,-0.0016,0.4464,5.924,0.1076,0.446,-0.4299,0.4283
44000.0,11,48.8673,508.6682,-0.0024,0.2859,6.282,0.1522,0.5619,-0.28,0.2776
48000.0,12,48.8412,557.5094,-0.002,0.2873,6.188,0.1172,0.5955,-0.2795,0.2775
52000.0,13,48.1254,605.6348,-0.0022,0.162,6.456,0.1396,0.6984,-0.1703,0.1681
56000.0,14,48.238,653.8728,-0.0024,0.1301,6.516,0.1589,0.711,-0.1294,0.127
60000.0,15,47.3651,701.2379,-0.0028,0.0895,6.59,0.1831,0.7274,-0.0914,0.0886
64000.0,16,45.4525,746.6904,-0.0031,0.0588,6.64,0.21,0.7312,-0.071,0.0679
68000.0,17,41.8562,788.5466,-0.0045,0.071,6.788,0.2989,0.6301,-0.1426,0.1381
72000.0,18,41.94,830.4866,-0.0055,0.0395,7.002,0.3429,0.6175,-0.1365,0.131
76000.0,19,41.9429,872.4294,-0.0078,0.0513,7.194,0.4995,0.4492,-0.2417,0.2339
80000.0,20,42.6766,915.1061,-0.01,0.074,7.384,0.6396,0.2865,-0.325,0.315
84000.0,21,44.2442,959.3502,-0.0111,0.078,7.506,0.7536,0.1685,-0.3948,0.3836
88000.0,22,45.2372,1004.5875,-0.0124,0.0597,7.642,0.8275,0.1127,-0.4058,0.3934
92000.0,23,45.6328,1050.2203,-0.0134,0.065,7.77,0.8932,0.0419,-0.4384,0.4249
96000.0,24,46.2921,1096.5124,-0.0131,0.0779,7.692,0.8771,0.045,-0.4432,0.4301
100000.0,25,46.0551,1142.5675,-0.0124,0.1397,7.464,0.8413,0.0189,-0.5016,0.4892
104000.0,26,45.6502,1188.2178,-0.0127,0.1486,7.608,0.8216,0.0298,-0.4825,0.4698
108000.0,27,44.8874,1233.1052,-0.0135,0.0746,7.786,0.9062,0.0193,-0.4636,0.4502
112000.0,28,44.1972,1277.3024,-0.0129,0.1026,7.71,0.8562,0.0412,-0.4623,0.4494
116000.0,29,44.3026,1321.605,-0.0134,0.0858,7.762,0.8843,0.0298,-0.456,0.4425
120000.0,30,43.4645,1365.0695,-0.0126,0.1109,7.7,0.8452,0.0439,-0.4716,0.4589
124000.0,31,43.6299,1408.6994,-0.0135,0.0899,7.808,0.8932,0.0169,-0.4702,0.4568
128000.0,32,44.6831,1453.3825,-0.0132,0.0837,7.788,0.8751,0.0412,-0.4453,0.4322
132000.0,33,44.4906,1497.8732,-0.0132,0.0846,7.728,0.8801,0.0353,-0.4541,0.441
136000.0,34,45.5879,1543.4611,-0.0128,0.0888,7.716,0.871,0.0402,-0.4471,0.4343
140000.0,35,46.3327,1589.7938,-0.0127,0.1148,7.696,0.8425,0.0427,-0.466,0.4534
144000.0,36,46.4256,1636.2194,-0.0126,0.1436,7.608,0.841,0.0155,-0.4991,0.4865
148000.0,37,47.0368,1683.2562,-0.0137,0.0863,7.802,0.9061,0.0076,-0.4665,0.4527
152000.0,38,47.0451,1730.3013,-0.0138,0.0688,7.84,0.925,0.0062,-0.4652,0.4514
156000.0,39,47.0342,1777.3355,-0.0142,0.0439,7.9,0.9457,0.0104,-0.4427,0.4285
160000.0,40,47.2449,1824.5804,-0.0131,0.1003,7.658,0.8941,0.0056,-0.4862,0.4731
164000.0,41,46.8036,1871.3841,-0.0141,0.0657,7.858,0.9333,0.001,-0.456,0.4418
168000.0,42,46.9092,1918.2933,-0.0144,0.0286,7.914,0.9684,0.003,-0.4445,0.4301
172000.0,43,45.9421,1964.2354,-0.014,0.0574,7.848,0.9393,0.0033,-0.4595,0.4455
176000.0,44,41.7026,2005.938,-0.0139,0.074,7.872,0.9149,0.0111,-0.4597,0.4458
180000.0,45,38.2581,2044.1961,-0.0139,0.0677,7.84,0.9255,0.0068,-0.4618,0.4479
184000.0,46,37.5148,2081.7109,-0.0143,0.0409,7.9,0.9585,0.0005,-0.4513,0.437
188000.0,47,40.1746,2121.8855,-0.0142,0.0512,7.886,0.9468,0.0019,-0.4525,0.4383
192000.0,48,45.7857,2167.6712,-0.0128,0.1245,7.794,0.8649,0.0106,-0.4889,0.4761
196000.0,49,47.9746,2215.6457,-0.0121,0.1841,7.562,0.8077,0.0082,-0.5296,0.5175
200000.0,50,47.8938,2263.5395,-0.0137,0.0779,7.8,0.9121,0.01,-0.4622,0.4485
204000.0,51,47.772,2311.3115,-0.0117,0.1938,7.532,0.7915,0.0146,-0.5379,0.5262
208000.0,52,48.3252,2359.6367,-0.0125,0.1398,7.698,0.8184,0.0418,-0.4839,0.4714
212000.0,53,48.477,2408.1137,-0.0135,0.0689,7.784,0.8918,0.0393,-0.4427,0.4292
216000.0,54,48.965,2457.0787,-0.0139,0.0457,7.812,0.9241,0.0302,-0.4354,0.4215
220000.0,55,49.0994,2506.178,-0.0142,0.0203,7.864,0.9488,0.0309,-0.4218,0.4077
224000.0,56,49.0695,2555.2476,-0.0135,0.0473,7.734,0.9108,0.042,-0.4273,0.4138
228000.0,57,48.2143,2603.4618,-0.0134,0.0479,7.702,0.8727,0.0794,-0.4055,0.3921
232000.0,58,47.936,2651.3978,-0.0126,0.0678,7.552,0.8379,0.0943,-0.4188,0.4061
236000.0,59,47.5123,2698.9101,-0.0128,0.0603,7.602,0.8484,0.0913,-0.3997,0.3869
240000.0,60,46.9749,2745.885,-0.0127,0.0574,7.562,0.8336,0.1089,-0.4022,0.3896
244000.0,61,46.428,2792.313,-0.0118,0.077,7.442,0.7751,0.1479,-0.4047,0.3929
248000.0,62,41.8879,2834.2009,-0.0122,0.069,7.496,0.8013,0.1298,-0.4029,0.3906
