EnvSteps,Iters,TimeThisIter,TimeTotal,EpisodeLengthMean,WinO,Tie,EpisodeReturnMean,WinX,ReturnO,ReturnX
4000.0,1,22.829,22.829,6.648,0.3062,0.1153,-0.0715,0.5784,-0.6501,0.5786
8000.0,2,34.4176,57.2466,6.164,0.3666,0.0611,-0.0346,0.5723,-0.6096,0.575
12000.0,3,47.3091,104.5557,5.962,0.3762,0.0615,-0.0334,0.5623,-0.6075,0.574
16000.0,4,47.9485,152.5042,5.866,0.3319,0.0459,-0.0277,0.6222,-0.6432,0.6155
20000.0,5,48.6986,201.2028,5.712,0.3203,0.0532,-0.0265,0.6265,-0.6455,0.619
24000.0,6,49.6395,250.8423,5.668,0.2563,0.0514,-0.0311,0.6923,-0.7155,0.6843
28000.0,7,49.3274,300.1697,5.74,0.2966,0.0479,-0.0381,0.6555,-0.6884,0.6504
32000.0,8,49.7048,349.8744,5.644,0.2654,0.0489,-0.0311,0.6858,-0.6935,0.6623
36000.0,9,50.1072,399.9817,5.648,0.2072,0.0732,-0.045,0.7196,-0.7406,0.6956
40000.0,10,49.9108,449.8924,5.732,0.2543,0.0879,-0.0531,0.6577,-0.7222,0.6692
44000.0,11,49.9305,499.8229,5.592,0.2376,0.0711,-0.045,0.6913,-0.7186,0.6736
48000.0,12,48.4136,548.2365,5.764,0.2173,0.0891,-0.0588,0.6936,-0.7613,0.7025
52000.0,13,48.4042,596.6407,5.86,0.229,0.1357,-0.083,0.6353,-0.7502,0.6672
56000.0,14,47.8513,644.492,6.032,0.2207,0.1745,-0.0992,0.6048,-0.7663,0.6671
60000.0,15,46.4395,690.9315,6.168,0.189,0.2366,-0.1407,0.5744,-0.7712,0.6305
64000.0,16,42.7173,733.6488,6.302,0.1665,0.2658,-0.1534,0.5677,-0.7942,0.6408
68000.0,17,41.0037,774.6525,6.402,0.1569,0.2895,-0.1626,0.5536,-0.8154,0.6527
72000.0,18,42.1903,816.8428,6.618,0.13,0.3699,-0.2145,0.5001,-0.8369,0.6223
76000.0,19,42.8178,859.6606,6.706,0.1082,0.3875,-0.2399,0.5043,-0.8609,0.621
80000.0,20,44.231,903.8916,6.736,0.0923,0.4512,-0.2549,0.4564,-0.8749,0.62
84000.0,21,45.8462,949.7378,6.902,0.0929,0.4698,-0.2745,0.4372,-0.8709,0.5963
88000.0,22,46.4259,996.1636,6.94,0.0628,0.4941,-0.293,0.4431,-0.9065,0.6136
92000.0,23,46.1373,1042.3009,7.002,0.0605,0.5323,-0.3137,0.4072,-0.898,0.5843
96000.0,24,46.2543,1088.5552,6.984,0.056,0.5316,-0.301,0.4124,-0.9102,0.6091
100000.0,25,45.8659,1134.4211,7.064,0.062,0.4992,-0.293,0.4388,-0.9021,0.6092
104000.0,26,45.2887,1179.7098,7.032,0.0497,0.5518,-0.3103,0.3984,-0.9137,0.6034
108000.0,27,44.354,1224.0638,7.08,0.0375,0.5493,-0.3241,0.4131,-0.9168,0.5927
112000.0,28,44.083,1268.1468,7.002,0.0644,0.5269,-0.301,0.4087,-0.9036,0.6025
116000.0,29,43.9121,1312.0589,7.07,0.0505,0.5606,-0.3149,0.3888,-0.9155,0.6006
120000.0,30,44.5816,1356.6405,7.042,0.0779,0.5628,-0.308,0.3593,-0.8765,0.5686
124000.0,31,44.9579,1401.5984,7.108,0.0741,0.5355,-0.3207,0.3903,-0.9039,0.5833
128000.0,32,45.6495,1447.2479,7.142,0.0467,0.5683,-0.331,0.385,-0.914,0.5829
132000.0,33,46.0875,1493.3354,7.118,0.0513,0.5712,-0.3241,0.3775,-0.9058,0.5817
136000.0,34,46.1489,1539.4842,7.162,0.0523,0.5639,-0.331,0.3838,-0.9052,0.5741
140000.0,35,46.5188,1586.003,7.154,0.0385,0.5763,-0.3368,0.3852,-0.9178,0.581
144000.0,36,46.5456,1632.5486,7.102,0.0591,0.5914,-0.3241,0.3495,-0.9014,0.5773
148000.0,37,46.8235,1679.3721,7.28,0.0492,0.5923,-0.3599,0.3585,-0.9091,0.5492
152000.0,38,47.2099,1726.5819,7.182,0.0425,0.6143,-0.3449,0.3432,-0.9171,0.5722
156000.0,39,47.2296,1773.8116,7.24,0.0563,0.5918,-0.338,0.3518,-0.9067,0.5688
160000.0,40,47.5022,1821.3138,7.32,0.0528,0.5858,-0.3529,0.3614,-0.9053,0.5524
164000.0,41,47.4752,1868.789,7.328,0.0354,0.6232,-0.3668,0.3414,-0.926,0.5592
168000.0,42,47.7977,1916.5867,7.29,0.0498,0.6223,-0.3553,0.3279,-0.9161,0.5608
172000.0,43,47.8301,1964.4168,7.176,0.0905,0.573,-0.3253,0.3365,-0.8771,0.5518
176000.0,44,47.3559,2011.7727,7.198,0.0688,0.5691,-0.338,0.3621,-0.9089,0.571
180000.0,45,48.6724,2060.4451,7.056,0.0692,0.5086,-0.2849,0.4223,-0.8941,0.6092
184000.0,46,48.3496,2108.7947,7.094,0.0806,0.5237,-0.2976,0.3957,-0.8863,0.5887
188000.0,47,49.0282,2157.8229,6.83,0.0728,0.4795,-0.2814,0.4477,-0.8834,0.602
192000.0,48,48.3452,2206.1681,6.852,0.0776,0.4626,-0.2757,0.4598,-0.8862,0.6105
196000.0,49,47.4339,2253.602,6.982,0.0697,0.5599,-0.308,0.3705,-0.8897,0.5818
200000.0,50,46.0235,2299.6255,7.078,0.0757,0.5323,-0.3022,0.392,-0.8815,0.5793
204000.0,51,44.3423,2343.9678,7.164,0.0969,0.5532,-0.3322,0.3499,-0.8765,0.5443
208000.0,52,41.0941,2385.062,7.068,0.0771,0.5121,-0.3137,0.4108,-0.8958,0.5821
212000.0,53,38.2977,2423.3597,7.114,0.0642,0.5955,-0.3391,0.3403,-0.9,0.5609
216000.0,54,37.4814,2460.8411,6.996,0.0636,0.5054,-0.293,0.4311,-0.9109,0.618
220000.0,55,44.3115,2505.1526,6.99,0.0718,0.5455,-0.3114,0.3828,-0.8938,0.5824
224000.0,56,47.4354,2552.588,7.04,0.0485,0.5393,-0.3114,0.4122,-0.9224,0.611
228000.0,57,48.7037,2601.2916,6.934,0.0634,0.5361,-0.301,0.4005,-0.8992,0.5981
232000.0,58,48.6175,2649.9091,7.026,0.071,0.5377,-0.3057,0.3914,-0.9031,0.5975
236000.0,59,48.0871,2697.9962,7.046,0.0629,0.5226,-0.2964,0.4144,-0.9084,0.612
240000.0,60,48.9738,2746.97,6.946,0.0868,0.4859,-0.278,0.4273,-0.8925,0.6146
244000.0,61,48.9296,2795.8996,6.892,0.0979,0.4578,-0.2607,0.4444,-0.8832,0.6225
248000.0,62,48.0782,2843.9778,7.072,0.088,0.5231,-0.2953,0.3889,-0.8975,0.6022
252000.0,63,48.5825,2892.5604,7.006,0.0616,0.5303,-0.2953,0.4081,-0.9085,0.6132
256000.0,64,48.0121,2940.5725,7.008,0.042,0.5478,-0.3057,0.4102,-0.9141,0.6085
260000.0,65,48.157,2988.7295,7.012,0.0673,0.5148,-0.2884,0.4179,-0.9026,0.6142
264000.0,66,48.01,3036.7395,7.196,0.0422,0.5453,-0.316,0.4125,-0.9176,0.6015
268000.0,67,47.3641,3084.1036,7.08,0.0534,0.5381,-0.3022,0.4086,-0.9057,0.6035
272000.0,68,47.6582,3131.7618,7.07,0.0839,0.5082,-0.293,0.4079,-0.8911,0.5982
276000.0,69,47.5985,3179.3603,7.162,0.0583,0.5253,-0.316,0.4163,-0.9154,0.5993
280000.0,70,47.5784,3226.9387,7.242,0.0438,0.584,-0.3356,0.3722,-0.9223,0.5867
284000.0,71,48.6399,3275.5786,7.144,0.0405,0.4908,-0.2953,0.4687,-0.9327,0.6374
288000.0,72,47.5565,3323.1352,7.248,0.0549,0.5484,-0.3183,0.3968,-0.9129,0.5946
292000.0,73,46.5187,3369.6538,7.148,0.0247,0.5633,-0.338,0.4121,-0.9463,0.6084
296000.0,74,44.2009,3413.8547,7.32,0.0354,0.5803,-0.3287,0.3843,-0.9296,0.6009
300000.0,75,42.3335,3456.1883,7.256,0.0229,0.5801,-0.331,0.397,-0.9426,0.6115
304000.0,76,41.9384,3498.1267,7.162,0.0436,0.5503,-0.3114,0.4062,-0.9158,0.6044
308000.0,77,42.6429,3540.7696,7.16,0.0415,0.5555,-0.316,0.403,-0.9088,0.5927
312000.0,78,41.5826,3582.3522,7.064,0.0739,0.5198,-0.2907,0.4063,-0.8891,0.5985
316000.0,79,41.5646,3623.9168,7.134,0.0384,0.5878,-0.331,0.3738,-0.9228,0.5917
320000.0,80,45.2379,3669.1547,7.082,0.0794,0.5631,-0.331,0.3575,-0.8832,0.5521
324000.0,81,47.3247,3716.4794,7.048,0.1227,0.5415,-0.3241,0.3359,-0.842,0.5179
328000.0,82,47.3748,3763.8542,7.004,0.0697,0.5211,-0.301,0.4093,-0.8882,0.5871
332000.0,83,47.3376,3811.1919,7.118,0.0602,0.5568,-0.3149,0.383,-0.8979,0.583
336000.0,84,47.1424,3858.3343,7.062,0.0984,0.5212,-0.2987,0.3804,-0.8642,0.5655
340000.0,85,46.9902,3905.3245,7.038,0.079,0.5366,-0.308,0.3844,-0.8941,0.5862
344000.0,86,47.6307,3952.9552,6.976,0.0652,0.5237,-0.2999,0.4112,-0.8971,0.5972
348000.0,87,48.2775,4001.2327,6.962,0.0539,0.5245,-0.2895,0.4217,-0.9047,0.6151
352000.0,88,48.0655,4049.2982,7.102,0.0677,0.5933,-0.3264,0.3391,-0.888,0.5616
356000.0,89,47.6915,4096.9897,6.84,0.0708,0.4947,-0.278,0.4345,-0.8991,0.6212
360000.0,90,47.3696,4144.3593,7.13,0.0629,0.5746,-0.3218,0.3625,-0.8884,0.5666
364000.0,91,45.3701,4189.7294,7.07,0.0552,0.5649,-0.3207,0.3799,-0.8973,0.5767
368000.0,92,41.8259,4231.5553,7.144,0.0682,0.516,-0.3126,0.4159,-0.8959,0.5833
372000.0,93,40.8215,4272.3768,7.18,0.096,0.5571,-0.316,0.3469,-0.8824,0.5663
376000.0,94,42.1408,4314.5176,7.196,0.1056,0.5727,-0.3483,0.3216,-0.8529,0.5046
380000.0,95,42.0764,4356.594,7.1,0.0821,0.5475,-0.3103,0.3704,-0.8697,0.5594
384000.0,96,42.3801,4398.9741,7.19,0.0658,0.5751,-0.3264,0.3591,-0.888,0.5616
388000.0,97,45.4846,4444.4586,7.092,0.0882,0.5526,-0.3253,0.3593,-0.8639,0.5386
392000.0,98,47.3412,4491.7999,7.166,0.0831,0.5553,-0.3195,0.3616,-0.8622,0.5427
396000.0,99,48.8187,4540.6186,7.156,0.0825,0.5474,-0.316,0.3701,-0.8736,0.5575
400000.0,100,48.6858,4589.3044,7.096,0.1028,0.522,-0.3033,0.3752,-0.844,0.5406
404000.0,101,49.4986,4638.803,7.126,0.1215,0.5383,-0.3057,0.3403,-0.8327,0.5271
408000.0,102,48.6539,4687.4569,7.132,0.1416,0.4985,-0.301,0.3599,-0.8178,0.5167
412000.0,103,49.1493,4736.6063,7.102,0.1258,0.5254,-0.3033,0.3489,-0.8242,0.5208
416000.0,104,48.7945,4785.4008,7.088,0.1287,0.479,-0.2768,0.3923,-0.8244,0.5476
420000.0,105,49.4748,4834.8756,7.048,0.135,0.5003,-0.2803,0.3647,-0.8329,0.5526
424000.0,106,48.9827,4883.8583,6.992,0.1206,0.4917,-0.2757,0.3878,-0.8334,0.5577
428000.0,107,49.3121,4933.1704,6.974,0.1301,0.4701,-0.2618,0.3998,-0.8368,0.575
432000.0,108,48.4705,4981.6408,6.934,0.1265,0.4589,-0.2653,0.4145,-0.8409,0.5756
436000.0,109,48.1893,5029.8301,6.98,0.1397,0.4817,-0.2837,0.3786,-0.8326,0.5489
440000.0,110,47.7309,5077.561,7.028,0.1137,0.4547,-0.263,0.4316,-0.8697,0.6068
444000.0,111,47.9888,5125.5498,7.136,0.0794,0.4659,-0.2745,0.4547,-0.8907,0.6161
448000.0,112,47.9258,5173.4756,7.328,0.0969,0.5457,-0.3149,0.3574,-0.8737,0.5588
452000.0,113,48.2925,5221.7681,7.314,0.0915,0.4638,-0.2664,0.4447,-0.876,0.6096
456000.0,114,48.504,5270.2721,7.248,0.0896,0.498,-0.278,0.4124,-0.8815,0.6036
