EnvSteps,Iters,TimeThisIter,TimeTotal,EpisodeLengthMean,Tie,WinO,WinX,EpisodeReturnMean,ReturnX,ReturnO
4000.0,1,47.189,47.189,6.758,0.134,0.2574,0.6085,0.0737,0.6415,-0.5678
8000.0,2,47.8101,94.9991,6.434,0.1517,0.3218,0.5265,0.0842,0.6056,-0.5215
12000.0,3,48.3189,143.318,6.318,0.1688,0.3263,0.505,0.0831,0.5973,-0.5142
16000.0,4,48.8436,192.1617,6.31,0.2258,0.2848,0.4894,0.1179,0.6248,-0.5069
20000.0,5,49.0871,241.2488,6.118,0.2132,0.2807,0.5061,0.1115,0.6234,-0.5118
24000.0,6,48.5075,289.7563,6.17,0.2403,0.2991,0.4606,0.1326,0.6177,-0.4852
28000.0,7,48.5755,338.3318,6.156,0.2197,0.3243,0.456,0.1252,0.6103,-0.485
32000.0,8,44.1362,382.468,6.204,0.2774,0.2267,0.4958,0.1505,0.6994,-0.5489
36000.0,9,40.0638,422.5318,6.346,0.2821,0.234,0.4839,0.1536,0.6693,-0.5157
40000.0,10,43.0054,465.5372,6.362,0.3588,0.1882,0.4529,0.181,0.709,-0.5281
44000.0,11,43.4465,508.9837,6.544,0.4113,0.1898,0.3989,0.2168,0.7118,-0.495
48000.0,12,43.3816,552.3653,6.698,0.4978,0.1426,0.3596,0.2589,0.7335,-0.4746
52000.0,13,44.8935,597.2588,6.934,0.5443,0.1478,0.3079,0.2989,0.7012,-0.4024
56000.0,14,47.3113,644.5701,7.014,0.5794,0.119,0.3016,0.3125,0.7299,-0.4174
60000.0,15,47.9054,692.4755,7.302,0.6793,0.0692,0.2515,0.3609,0.7596,-0.3987
64000.0,16,48.4139,740.8894,7.394,0.7048,0.0739,0.2213,0.3757,0.7438,-0.3681
68000.0,17,47.9546,788.844,7.33,0.7035,0.0667,0.2298,0.3715,0.7414,-0.3699
72000.0,18,47.3485,836.1925,7.44,0.7536,0.0384,0.208,0.4041,0.7676,-0.3635
76000.0,19,46.5351,882.7275,7.5,0.7833,0.0467,0.17,0.4093,0.7519,-0.3426
