EnvSteps,Episodes,Iters,TimeThisIter,TimeTotal,WinX,Tie,EpisodeLengthMean,WinO,EpisodeReturnMean
4000,603,1,17.7602,17.7602,0.5743,0.15,6.6169,0.2756,-0.065
8000,1231,2,15.8306,33.5908,0.574,0.1493,6.471,0.2767,-0.0583
12000,1903,3,15.625,49.2158,0.5744,0.1476,6.092,0.278,-0.0358
16000,2598,4,15.9736,65.1894,0.5753,0.1458,5.831,0.2789,-0.0291
20000,3324,5,15.8602,81.0496,0.5766,0.144,5.578,0.2794,-0.033
24000,4057,6,16.2869,97.3365,0.5776,0.143,5.446,0.2794,-0.0401
28000,4768,7,15.8172,113.1537,0.5781,0.1428,5.576,0.2791,-0.0569
32000,5451,8,15.7377,128.8914,0.5783,0.1432,5.797,0.2785,-0.076
36000,6086,9,16.2092,145.1007,0.5761,0.1461,6.132,0.2777,-0.1266
40000,6683,10,16.0569,161.1576,0.5709,0.1524,6.53,0.2766,-0.1959
44000,7243,11,16.4592,177.6168,0.5637,0.1626,6.943,0.2737,-0.28
48000,7779,12,16.0455,193.6623,0.5549,0.1754,7.302,0.2696,-0.3527
52000,8305,13,16.4788,210.1411,0.5459,0.1885,7.544,0.2657,-0.3928
56000,8820,14,16.445,226.5861,0.536,0.2027,7.687,0.2613,-0.4162
60000,9336,15,16.317,242.9031,0.5269,0.2165,7.754,0.2566,-0.4301
64000,9850,16,16.4429,259.346,0.5176,0.2302,7.776,0.2523,-0.4329
68000,10362,17,16.5533,275.8993,0.508,0.2441,7.796,0.2479,-0.4329
72000,10873,18,16.3905,292.2898,0.4989,0.2577,7.819,0.2434,-0.4387
76000,11384,19,16.3805,308.6704,0.4896,0.271,7.832,0.2394,-0.4449
80000,11904,20,16.3727,325.0431,0.4819,0.2829,7.747,0.2352,-0.4301
84000,12428,21,16.1066,341.1497,0.4742,0.2942,7.653,0.2316,-0.41
88000,12944,22,16.244,357.3937,0.4664,0.3057,7.689,0.2279,-0.411
92000,13459,23,16.0384,373.4321,0.4583,0.3175,7.762,0.2242,-0.4234
96000,13966,24,16.1163,389.5483,0.4499,0.3298,7.825,0.2203,-0.4401
100000,14475,25,15.9131,405.4615,0.4415,0.3419,7.875,0.2166,-0.4502
104000,14987,26,15.7218,421.1833,0.4335,0.3536,7.846,0.2129,-0.4463
108000,15501,27,15.2651,436.4483,0.4265,0.3647,7.797,0.2088,-0.4353
112000,16026,28,15.0054,451.4537,0.4194,0.3754,7.701,0.2052,-0.4234
116000,16545,29,15.0831,466.5368,0.4129,0.3856,7.681,0.2015,-0.4224
120000,17056,30,15.007,481.5439,0.4054,0.3966,7.761,0.198,-0.4349
124000,17560,31,15.2786,496.8225,0.3978,0.4078,7.884,0.1944,-0.4535
128000,18067,32,15.6034,512.4259,0.3903,0.4186,7.92,0.1911,-0.4549
132000,18572,33,16.0028,528.4287,0.3832,0.4292,7.911,0.1876,-0.4559
136000,19075,34,15.9203,544.349,0.3758,0.44,7.934,0.1841,-0.4616
140000,19600,35,16.3804,560.7294,0.3705,0.4488,7.771,0.1808,-0.4415
144000,20118,36,16.6045,577.3338,0.3644,0.4574,7.665,0.1782,-0.4239
148000,20624,37,16.783,594.1169,0.3575,0.4673,7.819,0.1751,-0.4415
152000,21127,38,16.5814,610.6983,0.3508,0.4771,7.928,0.1722,-0.4573
156000,21632,39,16.7119,627.4102,0.3441,0.4869,7.935,0.169,-0.4592
160000,22135,40,16.5925,644.0027,0.3376,0.4965,7.945,0.1659,-0.4626
164000,22639,41,16.3844,660.3871,0.3317,0.5056,7.941,0.1627,-0.4597
168000,23143,42,16.5006,676.8878,0.3254,0.5147,7.928,0.1599,-0.4578
172000,23645,43,16.0072,692.8949,0.3192,0.524,7.95,0.1568,-0.4645
176000,24152,44,15.6284,708.5233,0.3137,0.5324,7.931,0.1539,-0.4597
180000,24658,45,15.4157,723.939,0.3082,0.5409,7.896,0.1509,-0.4549
184000,25163,46,15.5432,739.4822,0.3024,0.5494,7.916,0.1482,-0.4621
188000,25668,47,15.6018,755.084,0.2969,0.5576,7.924,0.1455,-0.4616
192000,26173,48,15.5066,770.5907,0.2912,0.5658,7.923,0.1429,-0.4607
196000,26676,49,15.5901,786.1807,0.2857,0.574,7.936,0.1403,-0.464
200000,27183,50,15.8503,802.0311,0.2804,0.5816,7.925,0.138,-0.4607
204000,27693,51,15.9353,817.9664,0.2757,0.5889,7.858,0.1354,-0.4516
