EnvSteps,Iters,TimeThisIter,TimeTotal,Tie,WinX,EpisodeLengthMean,WinO,EpisodeReturnMean,ReturnX,ReturnO
4000.0,1,47.1542,47.1542,0.154,0.5363,6.578,0.3097,-0.0272,0.2644,-0.2916
8000.0,2,47.4185,94.5726,0.1269,0.6016,6.282,0.2715,-0.0292,0.2954,-0.3246
12000.0,3,47.6257,142.1983,0.1003,0.5317,6.03,0.368,-0.0237,0.1681,-0.1919
16000.0,4,48.3635,190.5618,0.1327,0.5554,5.976,0.312,-0.0316,0.2482,-0.2798
20000.0,5,48.4453,239.007,0.1327,0.5139,5.926,0.3533,-0.0321,0.1779,-0.2101
24000.0,6,48.8631,287.8701,0.1575,0.5284,5.868,0.3141,-0.0356,0.2142,-0.2498
28000.0,7,48.3847,336.2549,0.1459,0.5651,5.906,0.289,-0.0371,0.2595,-0.2965
32000.0,8,48.0794,384.3342,0.2341,0.5209,6.056,0.245,-0.0549,0.2226,-0.2774
36000.0,9,47.3546,431.6888,0.2044,0.4998,6.046,0.2959,-0.048,0.21,-0.258
40000.0,10,46.5039,478.1927,0.2332,0.5057,6.168,0.2611,-0.0608,0.2116,-0.2724
44000.0,11,46.3849,524.5776,0.3327,0.4475,6.322,0.2198,-0.0801,0.2239,-0.3041
48000.0,12,46.1817,570.7592,0.4273,0.3752,6.578,0.1975,-0.0999,0.1661,-0.2659
52000.0,13,46.233,616.9923,0.4532,0.4037,6.704,0.1431,-0.1127,0.1916,-0.3044
56000.0,14,45.9679,662.9602,0.5052,0.3806,6.772,0.1142,-0.1261,0.187,-0.313
60000.0,15,45.8938,708.854,0.5402,0.2974,7.014,0.1624,-0.1345,0.0327,-0.1673
64000.0,16,46.4333,755.2873,0.5697,0.2965,7.008,0.1339,-0.1409,0.1195,-0.2605
68000.0,17,46.0458,801.3332,0.6093,0.2935,7.162,0.0972,-0.1513,0.1083,-0.2597
72000.0,18,46.3299,847.6631,0.6565,0.2245,7.318,0.119,-0.1676,0.0182,-0.1858
76000.0,19,44.7278,892.3909,0.7231,0.1679,7.402,0.109,-0.179,-0.0255,-0.1535
80000.0,20,44.5741,936.965,0.7578,0.1411,7.474,0.101,-0.1845,-0.0342,-0.1502
84000.0,21,45.7745,982.7396,0.7439,0.1696,7.436,0.0864,-0.1879,-0.03,-0.158
88000.0,22,45.9414,1028.6809,0.7684,0.1531,7.502,0.0784,-0.1909,-0.0154,-0.1754
92000.0,23,46.2506,1074.9315,0.7648,0.152,7.424,0.0832,-0.1884,-0.0162,-0.1722
96000.0,24,45.8253,1120.7568,0.8119,0.1124,7.65,0.0757,-0.2052,-0.0566,-0.1486
100000.0,25,45.5475,1166.3044,0.8624,0.0993,7.686,0.0383,-0.2116,-0.0538,-0.1578
104000.0,26,46.0374,1212.3418,0.8159,0.1085,7.602,0.0756,-0.2018,-0.0649,-0.1369
108000.0,27,42.4014,1254.7432,0.7775,0.1318,7.626,0.0908,-0.2027,-0.0774,-0.1254
112000.0,28,42.847,1297.5902,0.8529,0.0945,7.736,0.0526,-0.2146,-0.0873,-0.1273
116000.0,29,41.9369,1339.5271,0.8585,0.0934,7.636,0.0481,-0.2092,-0.0706,-0.1386
120000.0,30,43.367,1382.8942,0.8454,0.0856,7.714,0.069,-0.2077,-0.0678,-0.1398
124000.0,31,45.3246,1428.2188,0.8485,0.0948,7.698,0.0568,-0.2131,-0.0926,-0.1206
128000.0,32,46.735,1474.9538,0.8439,0.0926,7.62,0.0636,-0.2057,-0.0709,-0.1349
132000.0,33,47.5486,1522.5024,0.8234,0.0684,7.578,0.1082,-0.2037,-0.1539,-0.0499
136000.0,34,47.267,1569.7694,0.8283,0.1045,7.606,0.0672,-0.2042,-0.0761,-0.1281
140000.0,35,46.8462,1616.6156,0.86,0.0771,7.712,0.0629,-0.2092,-0.0786,-0.1306
