EnvSteps,Iters,TimeThisIter,TimeTotal,WinX,EpisodeReturnMean,Tie,WinO,EpisodeLengthMean,ReturnO,ReturnX
4000.0,1,49.1776,49.1776,0.6,-0.1765,0.1193,0.2807,6.71,-0.3823,0.2057
8000.0,2,48.6051,97.7827,0.6535,-0.1149,0.0704,0.2761,6.208,-0.3834,0.2686
12000.0,3,48.6711,146.4538,0.5483,-0.1149,0.0741,0.3777,5.98,-0.2474,0.1326
16000.0,4,48.7995,195.2533,0.6346,-0.1093,0.0649,0.3004,5.822,-0.3886,0.2794
20000.0,5,48.8481,244.1014,0.5995,-0.1177,0.0721,0.3284,5.774,-0.3308,0.2132
24000.0,6,50.5184,294.6198,0.638,-0.07,0.0536,0.3083,5.602,-0.365,0.295
28000.0,7,49.5815,344.2013,0.5992,-0.0757,0.0545,0.3463,5.676,-0.3118,0.2362
32000.0,8,48.3928,392.5941,0.6333,-0.1009,0.063,0.3037,5.678,-0.3824,0.2816
36000.0,9,48.0859,440.68,0.562,-0.1233,0.0857,0.3523,5.696,-0.3016,0.1784
40000.0,10,46.8811,487.5611,0.5386,-0.227,0.1611,0.3003,5.898,-0.3635,0.1365
44000.0,11,46.5283,534.0894,0.5282,-0.1989,0.1468,0.325,5.914,-0.3135,0.1145
48000.0,12,45.863,579.9524,0.4753,-0.2886,0.1963,0.3284,6.08,-0.3143,0.0257
52000.0,13,45.5508,625.5031,0.4517,-0.311,0.2243,0.3239,6.178,-0.2975,-0.0135
56000.0,14,45.0476,670.5507,0.425,-0.4259,0.2878,0.2872,6.404,-0.3729,-0.0529
60000.0,15,45.1096,715.6603,0.4346,-0.4539,0.2936,0.2718,6.49,-0.363,-0.091
64000.0,16,44.9217,760.582,0.4015,-0.538,0.3531,0.2454,6.644,-0.405,-0.133
68000.0,17,44.7808,805.3628,0.37,-0.5884,0.4048,0.2252,6.83,-0.4142,-0.1742
72000.0,18,45.5105,850.8733,0.3027,-0.6556,0.5105,0.1868,6.86,-0.4678,-0.1878
76000.0,19,44.5466,895.42,0.3275,-0.6781,0.4828,0.1898,7.022,-0.499,-0.179
80000.0,20,44.9857,940.4057,0.3095,-0.7089,0.5046,0.1858,7.038,-0.4844,-0.2244
84000.0,21,39.4754,979.8811,0.3046,-0.7873,0.5711,0.1244,7.208,-0.5437,-0.2437
88000.0,22,45.2483,1025.1294,0.2748,-0.7957,0.5555,0.1697,7.156,-0.5019,-0.2939
92000.0,23,46.7349,1071.8643,0.2648,-0.7873,0.5827,0.1525,7.156,-0.5277,-0.2597
96000.0,24,47.5623,1119.4265,0.2588,-0.8322,0.5965,0.1447,7.198,-0.5541,-0.2781
100000.0,25,48.5687,1167.9952,0.2176,-0.8602,0.621,0.1613,7.3,-0.5121,-0.3481
104000.0,26,49.7776,1217.7728,0.2176,-0.8854,0.6206,0.1618,7.32,-0.5147,-0.3707
108000.0,27,48.436,1266.2088,0.2625,-0.821,0.5961,0.1414,7.252,-0.5445,-0.2765
112000.0,28,48.2868,1314.4955,0.2426,-0.8966,0.6364,0.121,7.33,-0.5643,-0.3323
116000.0,29,47.8417,1362.3372,0.2549,-0.8238,0.5892,0.1558,7.22,-0.5119,-0.3119
120000.0,30,45.222,1407.5592,0.2617,-0.8238,0.5911,0.1472,7.142,-0.4919,-0.3319
124000.0,31,41.467,1449.0263,0.2634,-0.8294,0.5884,0.1482,7.192,-0.4947,-0.3347
128000.0,32,42.0083,1491.0346,0.2276,-0.8714,0.6144,0.158,7.29,-0.4977,-0.3737
132000.0,33,42.4231,1533.4577,0.2398,-0.8994,0.6542,0.1061,7.318,-0.5557,-0.3437
136000.0,34,43.7542,1577.2119,0.2223,-0.9078,0.6507,0.1271,7.324,-0.5499,-0.3579
140000.0,35,43.3979,1620.6098,0.1659,-0.9246,0.6632,0.1709,7.264,-0.4183,-0.5063
144000.0,36,44.4522,1665.062,0.197,-0.8602,0.6251,0.1779,7.238,-0.4521,-0.4081
148000.0,37,46.0872,1711.1492,0.2239,-0.9078,0.645,0.1311,7.266,-0.5539,-0.3539
152000.0,38,46.5428,1757.692,0.1543,-0.9498,0.7037,0.142,7.348,-0.5009,-0.4489
156000.0,39,47.3211,1805.0132,0.1539,-0.933,0.6792,0.1669,7.3,-0.4485,-0.4845
160000.0,40,47.157,1852.1701,0.2161,-0.8686,0.6279,0.156,7.228,-0.5103,-0.3583
164000.0,41,47.2177,1899.3879,0.2298,-0.891,0.6501,0.1201,7.162,-0.5335,-0.3575
168000.0,42,47.1038,1946.4917,0.2006,-0.8854,0.6456,0.1538,7.28,-0.4667,-0.4187
172000.0,43,44.8549,1991.3466,0.1764,-0.8938,0.6456,0.178,7.198,-0.4529,-0.4409
176000.0,44,49.1116,2040.4583,0.2158,-0.849,0.6065,0.1777,7.122,-0.4705,-0.3785
180000.0,45,49.1025,2089.5607,0.1798,-0.9302,0.6499,0.1703,7.29,-0.4611,-0.4691
184000.0,46,48.293,2137.8537,0.1899,-0.8854,0.6121,0.1979,7.23,-0.4387,-0.4467
188000.0,47,46.9245,2184.7783,0.1748,-0.8854,0.647,0.1782,7.262,-0.4307,-0.4547
