EnvSteps,Iters,TimeThisIter,TimeTotal,WinX,EpisodeReturnMean,WinO,Tie,EpisodeLengthMean,ReturnX,ReturnO
4000.0,1,27.2693,27.2693,0.5955,-0.1779,0.2636,0.1409,6.61,0.2231,-0.4009
8000.0,2,43.9126,71.182,0.5869,-0.1234,0.3185,0.0946,6.458,0.2243,-0.3477
12000.0,3,45.7855,116.9674,0.5854,-0.0975,0.3435,0.0711,6.26,0.1792,-0.2768
16000.0,4,46.0028,162.9702,0.6029,-0.0861,0.3338,0.0633,5.984,0.225,-0.311
20000.0,5,46.0475,209.0177,0.5664,-0.0516,0.3926,0.0411,5.87,0.1102,-0.1618
24000.0,6,46.4662,255.4839,0.5878,-0.0258,0.3865,0.0257,5.692,0.1451,-0.1709
28000.0,7,46.3418,301.8258,0.609,-0.0143,0.3778,0.0132,5.468,0.2228,-0.2372
32000.0,8,46.7686,348.5944,0.6445,-0.0115,0.3463,0.0091,5.328,0.2903,-0.3017
36000.0,9,47.5617,396.156,0.642,-0.0057,0.3544,0.0037,5.114,0.2451,-0.2509
40000.0,10,48.1093,444.2654,0.682,-0.0029,0.3163,0.0017,5.042,0.3686,-0.3714
44000.0,11,48.5772,492.8425,0.7694,-0.0086,0.2265,0.0041,4.892,0.5417,-0.5503
48000.0,12,48.5697,541.4123,0.7548,-0.0029,0.2442,0.001,4.816,0.5246,-0.5274
52000.0,13,47.8941,589.3063,0.7678,-0.0057,0.2262,0.0061,4.816,0.5291,-0.5349
56000.0,14,47.7204,637.0268,0.7738,-0.0172,0.2116,0.0146,4.866,0.5674,-0.5846
60000.0,15,47.2375,684.2643,0.7596,-0.0258,0.2249,0.0155,4.866,0.5171,-0.5429
64000.0,16,47.0769,731.3411,0.6836,-0.0086,0.3104,0.006,4.986,0.3857,-0.3943
68000.0,17,47.6018,778.9429,0.7421,-0.0201,0.2496,0.0082,4.954,0.484,-0.504
72000.0,18,47.0582,826.0011,0.7145,-0.0258,0.2738,0.0116,5.052,0.4651,-0.4909
76000.0,19,47.7259,873.727,0.635,-0.0172,0.3533,0.0118,5.196,0.3154,-0.3326
80000.0,20,49.414,923.141,0.6842,-0.0402,0.2933,0.0225,5.308,0.3679,-0.4081
84000.0,21,48.9714,972.1123,0.6273,-0.0373,0.3385,0.0342,5.456,0.2914,-0.3286
88000.0,22,44.127,1016.2394,0.6398,-0.0746,0.3116,0.0486,5.526,0.2427,-0.3173
92000.0,23,46.6759,1062.9153,0.504,-0.0947,0.4249,0.0711,5.812,-0.0013,-0.0933
96000.0,24,46.2248,1109.1401,0.4484,-0.1119,0.4733,0.0783,5.93,-0.1459,0.0341
100000.0,25,45.8225,1154.9626,0.3448,-0.1521,0.5436,0.1116,6.052,-0.238,0.086
104000.0,26,45.672,1200.6346,0.2946,-0.2439,0.5436,0.1618,6.244,-0.3479,0.1041
108000.0,27,44.9836,1245.6181,0.2373,-0.284,0.5557,0.207,6.468,-0.476,0.192
112000.0,28,39.7215,1285.3397,0.2288,-0.4217,0.4948,0.2765,6.696,-0.4889,0.0671
116000.0,29,44.9407,1330.2804,0.1765,-0.6541,0.3946,0.4289,6.952,-0.5351,-0.1191
120000.0,30,45.1039,1375.3843,0.2023,-0.832,0.2291,0.5687,7.032,-0.412,-0.42
124000.0,31,46.4815,1421.8658,0.1643,-0.9353,0.1967,0.639,7.228,-0.4877,-0.4477
128000.0,32,47.1007,1468.9665,0.1541,-1.0788,0.1144,0.7315,7.404,-0.5154,-0.5634
132000.0,33,47.6005,1516.567,0.1457,-1.0931,0.0801,0.7742,7.31,-0.4806,-0.6126
136000.0,34,48.0467,1564.6136,0.1298,-1.096,0.0871,0.783,7.394,-0.476,-0.62
140000.0,35,47.0297,1611.6434,0.1388,-1.1706,0.0641,0.7971,7.48,-0.5133,-0.6573
144000.0,36,46.5906,1658.2339,0.1334,-1.1247,0.0706,0.7961,7.378,-0.4863,-0.6383
148000.0,37,46.7376,1704.9715,0.1423,-1.1505,0.0474,0.8103,7.384,-0.4732,-0.6772
152000.0,38,45.1958,1750.1673,0.1251,-1.1792,0.0461,0.8288,7.468,-0.4996,-0.6796
